time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13
70,1,2.892004626,7.73227107,1.176470588,7.12678125,6.19966633,5.29411765,7.89094529,4.235481452,0.580489989,13.24477932,11.72337527,11.4627082,8.42672025
71,1,2.892004626,7.73227107,1.176470588,7.12678125,6.48566129,5.29411765,7.89094529,4.193235064,0.302281287,12.96286057,11.72337527,11.4627082,8.42672025
72,1,2.892004626,7.73227107,1.176470588,6.84166008,6.48566129,5.36112644,7.89094529,3.945239015,0.580489989,12.95081708,11.45482439,11.65859089,8.31674285
73,1,2.892004626,7.73227107,1.176470588,6.84166008,6.48566129,5.36112644,7.89094529,3.945239015,0.580489989,12.95081708,11.60658143,11.65859089,8.31674285
74,1,2.892004626,7.73227107,1.176470588,6.84166008,6.19966633,5.12038267,7.72547509,3.945239015,0.580489989,13.24477932,11.60658143,11.65859089,8.31674285
75,1,2.892004626,7.73227107,1.176470588,7.12678125,6.19966633,5.29411765,7.72547509,3.945239015,0.580489989,12.95081708,11.87784322,11.65859089,8.31674285
76,1,2.892004626,8.0244646,1.176470588,7.12678125,6.19966633,5.29411765,7.97122181,3.99826973,0.302281287,12.96286057,11.76728566,11.65859089,8.31674285
77,1,2.892004626,7.73227107,1.176470588,7.12678125,6.19966633,5.12038267,7.97122181,3.99826973,0.302281287,12.96286057,12.04106581,11.65859089,8.0642543
78,1,2.892004626,7.99454237,1.176470588,7.12678125,6.19966633,4.88252801,7.72547509,3.99826973,0.302281287,13.29449593,11.93668241,11.65859089,8.0642543
79,1,2.892004626,7.99454237,1.176470588,7.12678125,6.19966633,4.88252801,7.72547509,3.945239015,0.302281287,13.02775638,11.93668241,11.65859089,8.0642543
80,1,2.892004626,7.99454237,1.176470588,7.12678125,6.19966633,4.88252801,7.72547509,3.945239015,0.494571086,12.76675095,12.21279399,11.44167631,8.0642543
81,1,2.892004626,7.99454237,1.183469424,7.12678125,6.19966633,4.88252801,7.72547509,3.945239015,0.494571086,13.05891933,12.21279399,11.44167631,8.0642543
82,1,2.892004626,7.99454237,1.183469424,6.84166008,6.13381955,5.12038267,7.72547509,3.945239015,0.494571086,13.05891933,12.21279399,11.64300512,8.0642543
83,1,2.892004626,7.99454237,1.183469424,6.84166008,5.84652289,5.0603714,7.97122181,4.235481452,0.211777984,13.0948099,12.48949264,11.64300512,8.0642543
84,1,2.892004626,7.99454237,1.176470588,6.84166008,5.84652289,5.0603714,7.97122181,4.235481452,0.580489989,13.0948099,12.48949264,11.64300512,8.0642543
85,1,2.892004626,7.99454237,1.176470588,6.84166008,5.84652289,5.0603714,7.97122181,4.235481452,0.302281287,12.80323053,12.21279399,11.43115026,7.81354171
86,1,2.892004626,8.28747882,1.183469424,7.12678125,5.84652289,5.29411765,7.97122181,3.945239015,0.302281287,13.0948099,12.21279399,11.43115026,7.81354171
87,1,2.892004626,8.28747882,1.183469424,7.12678125,5.91410313,5.29411765,7.97122181,4.235481452,0.302281287,12.8444839,12.31551298,11.43115026,7.81354171
88,1,2.892004626,8.31674285,1.183469424,7.12678125,5.91410313,5.29411765,7.97122181,4.235481452,0.580489989,12.55367448,12.31551298,11.43115026,7.81354171
89,1,2.892004626,8.31674285,1.176470588,7.12678125,5.91410313,5.29411765,8.13359621,4.235481452,0.580489989,12.89047803,12.31551298,11.43115026,7.81354171
90,1,2.892004626,8.28747882,1.176470588,7.12678125,5.84652289,5.29411765,8.13359621,4.235481452,0.494571086,12.60042859,12.04106581,11.43115026,7.81354171
