consecutive,period,fold,cor,mae,rmse,no_perfect,no_data,no_data_full
4,6,1.4,0.817860136695057,2.62295081967213,4.87549913375838,56,122,127
5,6,1.4,0.816737239169877,3.10434782608696,5.64839338450209,50,115,127
1,7,1.4,0.781796306309928,4.40157480314961,6.55503653208797,18,127,127
2,7,1.4,0.809406879126948,3.03937007874016,5.44116708184912,51,127,127
3,7,1.4,0.757881027159657,2.57142857142857,5.76387215526353,60,126,127
4,7,1.4,0.820220304817176,2.58196721311475,4.83752409237022,56,122,127
5,7,1.4,0.80429720814545,3.16521739130435,5.90799016807636,50,115,127
1,8,1.4,0.772695581908533,4.83464566929134,6.91455158503046,12,127,127
2,8,1.4,0.786271795381935,3.25984251968504,5.8160787179631,50,127,127
3,8,1.4,0.854937850029663,2.30952380952381,4.30300743851007,60,126,127
4,8,1.4,0.821239838809104,2.51639344262295,4.78642205259563,57,122,127
5,8,1.4,0.830973688871149,3,5.3524875345037,49,114,127
1,9,1.4,0.823731971488639,4.85826771653543,6.56343965901114,12,127,127
2,9,1.4,0.86896300922983,3.07086614173228,4.89093649953868,48,127,127
3,9,1.4,0.875663205131315,2.15079365079365,3.96712682404977,60,126,127
4,9,1.4,0.834342352143251,2.40983606557377,4.66061277896049,58,122,127
5,9,1.4,0.808135115430354,3.10526315789474,5.88635055080969,50,114,127
1,10,1.4,0.811489588649113,5.1259842519685,6.82572715401827,10,127,127
2,10,1.4,0.880491089135286,3.02362204724409,4.73053408780716,49,127,127
3,10,1.4,0.864341286058274,2.36507936507937,4.19182878603463,58,126,127
4,10,1.4,0.834598450531233,2.39344262295082,4.54666153870518,58,122,127
5,10,1.4,0.828418368694229,2.94736842105263,5.32290647422377,50,114,127
1,11,1.4,0.816374054948954,5.47244094488189,7.09052822793768,9,127,127
2,11,1.4,0.878146255517069,3.33070866141732,5.00786782548025,47,127,127
3,11,1.4,0.885622606332003,2.16666666666667,3.86169631285248,60,126,127
4,11,1.4,0.834814238433577,2.4344262295082,4.63680924774785,58,122,127
5,11,1.4,0.840239228894667,2.83333333333333,5.18178320590339,51,114,127
1,12,1.4,0.846697113570535,5.46456692913386,6.82630391916815,8,127,127
2,12,1.4,0.869682468631475,3.40944881889764,5.10133532001613,46,127,127
3,12,1.4,0.873633448021113,2.28571428571429,4.07664661444276,59,126,127
4,12,1.4,0.834814238433577,2.4344262295082,4.63680924774785,58,122,127
5,12,1.4,0.840239228894667,2.83333333333333,5.18178320590339,51,114,127
1,13,1.4,0.831839430677037,5.48031496062992,7.00730777151428,10,127,127
2,13,1.4,0.88192847881849,3.39370078740158,4.99842494877176,46,127,127
3,13,1.4,0.892785018859738,2.15079365079365,3.78698690798765,60,126,127
4,13,1.4,0.845450537118696,2.35245901639344,4.48220525349144,58,122,127
5,13,1.4,0.840239228894667,2.83333333333333,5.18178320590339,51,114,127
1,14,1.4,0.889600854635854,5.26771653543307,6.34382333362058,9,127,127
2,14,1.4,0.891716908852367,3.22047244094488,4.74963736701132,47,127,127
3,14,1.4,0.909793647242579,2.00793650793651,3.4353438403728,60,126,127
